image,axis_0,axis_1,axis_2,axis_3,axis_4,axis_5,button_0,button_1,button_2,button_3,button_4,button_5,button_6,button_7,button_8,button_9,button_10,button_11,button_12,button_13,button_14,button_15,hat_0_x,hat_0_y
frame_0.jpg,0.000,0.000,0.000,0.000,-1.000,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_1.jpg,-0.696,-0.835,-0.013,0.023,-1.000,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_2.jpg,0.096,-0.044,0.769,-0.726,0.349,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_3.jpg,0.037,0.023,0.772,-0.725,-1.000,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_4.jpg,0.034,0.026,0.009,-0.026,1.000,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_5.jpg,-0.955,-0.370,0.810,-0.684,-1.000,-1.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_6.jpg,0.105,-0.053,0.013,0.045,0.529,-0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_7.jpg,-0.069,0.059,0.328,-1.000,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_8.jpg,0.013,0.001,0.896,0.255,-0.678,-0.718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_9.jpg,-0.012,-0.035,0.016,-0.049,1.000,0.137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
frame_10.jpg,-0.553,-0.387,0.563,-0.892,-1.000,-0.098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_11.jpg,0.009,-0.012,0.675,-0.826,-0.678,-0.616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_12.jpg,0.009,-0.007,0.503,-0.441,1.000,-0.773,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
frame_13.jpg,-0.828,-0.586,-0.341,0.072,-1.000,-0.804,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_14.jpg,0.095,0.083,-0.458,-0.884,1.000,-0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_15.jpg,0.614,0.809,-0.004,0.003,-1.000,0.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_16.jpg,0.617,0.868,-0.001,0.000,-1.000,-0.835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_17.jpg,-0.241,0.772,-0.001,0.000,-1.000,-0.294,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_18.jpg,0.035,0.005,-0.001,0.000,-1.000,-0.404,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_19.jpg,-0.557,-0.733,-0.001,0.000,-1.000,-0.498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_20.jpg,-0.641,-0.878,-0.001,0.000,-1.000,1.000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_21.jpg,0.024,-0.027,-0.001,0.000,-0.969,-0.231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
frame_22.jpg,0.024,-0.027,-0.001,0.000,1.000,-0.514,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
frame_23.jpg,-0.594,-0.573,-0.633,0.823,-1.000,-1.000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_24.jpg,-0.813,-0.696,-0.018,0.146,1.000,-0.482,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_25.jpg,-0.086,-0.067,-0.018,0.029,-1.000,0.474,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_26.jpg,-0.026,-0.041,-0.018,0.026,0.302,-0.427,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
frame_27.jpg,-0.025,-0.041,-0.018,0.026,-1.000,-1.000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
frame_28.jpg,-0.025,-0.041,-0.018,0.056,-0.631,-1.000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_29.jpg,-0.025,-0.041,-0.018,0.027,1.000,0.914,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_30.jpg,-0.025,-0.041,-0.018,0.027,-1.000,-0.804,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
