image,axis_0,axis_1,axis_2,axis_3,axis_4,axis_5,button_0,button_1,button_2,button_3,button_4,button_5,button_6,button_7,button_8,button_9,button_10,button_11,button_12,button_13,button_14,button_15,hat_0_x,hat_0_y
frame_0.jpg,-0.002,0.030,-0.024,0.020,-1.000,-1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
frame_1.jpg,0.009,-0.011,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_2.jpg,-0.010,0.002,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_3.jpg,0.013,0.014,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_4.jpg,-0.097,-0.014,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_5.jpg,-0.153,-0.002,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_6.jpg,-1.000,0.114,-0.024,0.020,-1.000,1.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_7.jpg,0.148,0.091,-0.024,0.020,-1.000,1.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_8.jpg,-1.000,-0.178,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_9.jpg,-0.919,-0.005,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_10.jpg,-1.000,-0.068,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_11.jpg,-1.000,0.066,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_12.jpg,0.937,-0.497,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_13.jpg,-0.870,-0.582,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_14.jpg,0.653,-0.130,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_15.jpg,1.000,-0.227,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_16.jpg,-1.000,-0.116,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_17.jpg,-1.000,0.144,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_18.jpg,1.000,-0.074,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_19.jpg,1.000,-0.197,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_20.jpg,1.000,-0.189,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_21.jpg,0.068,-0.059,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_22.jpg,0.041,-0.056,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_23.jpg,0.359,-0.130,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_24.jpg,0.028,-0.057,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_25.jpg,0.019,-0.036,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_26.jpg,0.019,-0.033,-0.024,0.020,-1.000,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_27.jpg,-1.000,0.035,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
frame_28.jpg,1.000,-0.163,-0.024,0.020,-1.000,1.000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
